大津波	名詞,固有名詞,人名,一般,*,*,大津波,オオツナミ,オーツナミ
映像	名詞,一般,*,*,*,*,映像,エイゾウ,エイゾー
“	記号,括弧開,*,*,*,*,“,“,“
小中学生	名詞,一般,*,*,*,*,小中学生,ショウチュウガクセイ,ショーチューガクセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
見せ	動詞,自立,*,*,一段,連用形,見せる,ミセ,ミセ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
”	記号,括弧閉,*,*,*,*,”,”,”
被災者	名詞,固有名詞,一般,*,*,*,被災者,ヒサイシャ,ヒサイシャ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
７	名詞,数,*,*,*,*,７,ナナ,ナナ
割	名詞,接尾,助数詞,*,*,*,割,ワリ,ワリ
|	記号,一般,*,*,*,*,*
NHK	名詞,固有名詞,一般,*,*,*,NHK,エヌエイチケイ,エヌエイチケイ
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
EOS
東京新聞	名詞,固有名詞,一般,*,*,*,東京新聞,トウキョウシンブン,トーキョーシンブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
望月衣塑子	名詞,固有名詞,人名,一般,*,*,望月衣塑子,モチヅキイソコ,モチズキイソコ
記者	名詞,一般,*,*,*,*,記者,キシャ,キシャ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
署名	名詞,サ変接続,*,*,*,*,署名,ショメイ,ショメイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ネット	名詞,一般,*,*,*,*,ネット,ネット,ネット
で	助詞,格助詞,一般,*,*,*,で,デ,デ
集め	動詞,自立,*,*,一段,連用形,集める,アツメ,アツメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
中2	名詞,固有名詞,一般,*,*,*,中学2年,チュウニ,チューニ
、	記号,読点,*,*,*,*,、,、,、
誹謗中傷	名詞,固有名詞,一般,*,*,*,誹謗中傷,ヒボウチュウショウ,ヒボーチュウショー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
「	記号,括弧開,*,*,*,*,「,「,「
子ども	名詞,一般,*,*,*,*,子ども,コドモ,コドモ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
意見	名詞,サ変接続,*,*,*,*,意見,イケン,イケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ちゃ	助詞,接続助詞,*,*,*,*,ちゃ,チャ,チャ
いけ	動詞,非自立,*,*,一段,未然形,いける,イケ,イケ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
」	記号,括弧閉,*,*,*,*,」,」,」
|	記号,一般,*,*,*,*,*
ハフポスト	名詞,固有名詞,一般,*,*,*,ハフポスト,ハフポスト,ハフポスト
EOS
「	記号,括弧開,*,*,*,*,「,「,「
IT	名詞,固有名詞,一般,*,*,*,IT,アイティー,アイティー
業界	名詞,一般,*,*,*,*,業界,ギョウカイ,ギョーカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
萎縮	名詞,サ変接続,*,*,*,*,萎縮,イシュク,イシュク
